MovieID,Title,Genre,Year,Director,Lead Actor,RT (%),IMDB,Box Office Revenue (in million $),Budget,Runtime,Like it
54,Desert's Mirage,Comedy,2022,Denis Villeneuve,Harrison Ford,89,8.45,473,143,123,0
55,Galactic Quest,Action,2021,Todd Haynes,Ryan Reynolds,79,7.19,125,139,120,1
56,Lost in the Abyss,Comedy,2023,Barry Jenkins,Brad Pitt,84,7.43,130,133,123,1
57,Eagle's Cry,Adventure,2021,Martin Scorsese,Tom Hiddleston,78,6.93,119,134,108,1
58,Renegade's Dawn,Adventure,2023,Martin Scorsese,Meryl Streep,75,6.81,113,127,112,1
59,Silent Echoes,Horror,2022,Denis Villeneuve,Brie Larson,74,6.92,47,50,105,1
60,Voyage Unbound,Comedy,2023,Mike Flanagan,Halle Berry,89,7.85,478,136,118,1
61,Reaper's Wake,Romance,2022,Taika Waititi,Natalie Portman,73,6.42,49,22,91,0
62,Alien Uprising,Action,2023,Kenneth Branagh,Viola Davis,77,7.07,119,137,118,1
63,Tempest's Wake,Adventure,2021,Lars von Trier,Bill Murray,75,6.61,113,137,117,1
64,Neptune's Odyssey,Action,2023,Pedro Almodovar,Charlize Theron,85,7.16,127,157,120,1
65,Echoes of Love,Thriller,2021,Christopher Nolan,Tom Cruise,87,7.76,45,48,100,1
66,Valor's Edge,Adventure,2023,Damien Chazelle,Meryl Streep,73,6.63,103,128,113,1
67,Island's Song,Comedy,2021,Wes Anderson,Tom Hardy,90,8.29,482,146,124,1
68,Eagle's Summit,Comedy,2021,Coen Brothers,Sigourney Weaver,91,8.2,486,141,124,0
69,Galaxy's Lament,Action,2021,Wes Anderson,Ben Affleck,82,6.93,127,155,120,0
70,Lost Memories,Horror,2021,Pedro Almodovar,Tom Cruise,80,7.19,42,58,104,0
71,Endless Horizons,Comedy,2023,Jon Favreau,Kate Winslet,90,8.11,471,138,119,1
72,Stellar Odyssey,Action,2023,Quentin Tarantino,Willem Dafoe,82,7.06,128,154,116,1
73,Heart's Song,Thriller,2021,Ridley Scott,Nicole Kidman,86,7.64,70,61,101,1
74,Futures Past,Horror,2023,Guy Ritchie,Nicole Kidman,79,7.2,43,57,106,0
75,Starlit Pathways,Action,2021,Ridley Scott,Mark Ruffalo,83,7.45,121,156,119,1
76,Warrior's Legacy,Adventure,2021,George Miller,George Clooney,74,6.32,102,127,115,1
77,Knight's Reckoning,Adventure,2023,George Miller,Glenn Close,74,6.9,114,122,111,1
78,Whispers of Eternity,Thriller,2022,Sofia Coppola,Emily Blunt,86,7.82,73,52,103,1
79,Twilight's Embrace,Thriller,2021,Rob Zombie,Maggie Smith,84,7.62,60,60,102,0
80,Warfront Defenders,Adventure,2023,James Wan,Julia Roberts,77,7.17,117,135,114,1
81,Deserted Realms,Comedy,2023,Spike Lee,Viola Davis,87,7.65,483,138,126,1
82,Beyond the Cosmos,Action,2021,Steven Spielberg,Christian Bale,86,7.5,106,150,117,1
83,Dreamscape's Secrets,Horror,2022,John Woo,Idris Elba,85,7.71,90,55,110,1
84,Alien Legacy,Action,2023,Rian Johnson,Scarlett Johansson,79,6.89,113,144,120,0
85,Cosmic Paradigms,Action,2022,Darren Aronofsky,Mel Gibson,85,7.27,126,144,115,1
86,Dawn's Echo,Thriller,2022,Kathryn Bigelow,Michael Fassbender,87,7.93,46,50,102,1
87,Pandora Unleashed,Sci-Fi,2022,Patty Jenkins,Chris Hemsworth,82,7.29,88,71,99,0
88,Dreamscape,Horror,2022,Paul Greengrass,Helen Mirren,79,7.04,54,56,107,0
89,Urban Ties,Horror,2021,David Fincher,Jodie Foster,87,7.86,86,55,107,1
90,Times Forgotten,Horror,2021,Edgar Wright,Jessica Lange,75,6.96,50,54,108,0
91,Guardian's Charge,Adventure,2023,Sam Mendes,Daniel Kaluuya,74,6.7,99,123,105,1
92,Streets Unveiled,Horror,2021,Luc Besson,Emma Stone,84,7.61,90,60,109,1
93,Lurker's Shadows,Fantasy,2023,Bryan Singer,Jared Leto,77,7.05,97,127,98,1
94,Island's Enigma,Comedy,2022,Steven Spielberg,Emma Watson,88,8.1,489,141,122,1
95,Wraith's Descent,Romance,2022,Tim Burton,Bradley Cooper,71,6.14,67,24,94,1
96,Golden Kingdom,Comedy,2021,Paul Greengrass,Dwayne Johnson,84,7.55,121,137,121,1
97,Echoes of Tomorrow,Horror,2023,Kathryn Bigelow,Angelina Jolie,79,7.02,43,54,105,1
98,Puzzling Darkness,Sci-Fi,2021,Richard Linklater,Cate Blanchett,78,7.24,88,64,98,0
99,Justice's Sword,Adventure,2022,Christopher Nolan,Matt Damon,75,7,98,127,107,0
100,Sunrise Dreams,Thriller,2022,Spike Lee,Rachel McAdams,88,8.02,47,51,101,1
